"","THETA_of_Seurat","THETA_of_cc_gene_test","THETA_of_GO0007049","THETA_of_cyclebase3.0"
"hela1_SC224",-1.35533207703452,-1.38240191043975,1.40580355708909,-1.5464785919351
"hela1_SC225",2.66515345085917,2.58109086018825,1.82141193883295,2.51008714292956
"hela1_SC226",-0.869889291957332,-0.641661253495605,2.75967848927862,-0.793121075466914
"hela1_SC227",-3.13230776430714,-2.82853259783581,0.519587472801401,1.9192212763218
"hela1_SC228",-2.03753553089497,-2.03472391600498,-3.05248516071352,-1.64641556045637
"hela1_SC229",0.299166091114022,0.28758554565282,-0.308105538603467,0.438977727070861
"hela1_SC230",-2.60946746448843,-2.59848435168585,3.08981335164055,-1.93312622261763
"hela1_SC231",1.9313455009226,1.90324735746541,0.496184675476665,1.6054736864013
"hela1_SC232",-2.24129907026533,-2.15883176159546,-3.03769032550874,-1.93736812702771
"hela1_SC233",-2.39765793248932,-2.37137412280463,1.89436175001855,-1.77845315775567
"hela1_SC234",-2.37452359138856,-2.45615020415474,3.11728117191155,-2.0256977726616
"hela1_SC236",1.54437560944514,1.6875791162466,-2.92090293255498,1.83586014348335
"hela1_SC237",2.56943132199351,2.61523389220074,1.61227304700925,2.51188426770228
"hela1_SC238",-0.866859981739494,-0.740356554635698,2.72828696983115,-1.36411594612027
"hela1_SC240",2.80201769710854,2.81894525493575,2.61813787075507,2.97016092142931
"hela1_SC241",-0.905233761329045,-0.811743779485708,1.47849166963863,-0.897303770509175
"hela1_SC242",-0.72030344104872,-0.322793555300291,-2.80612748252681,-1.15933074216284
"hela1_SC243",2.28304269877243,2.27027960405629,0.656524147530515,1.74013408623734
"hela1_SC244",2.94804237486062,2.92655880086799,2.51337165847128,2.55146316138733
"hela1_SC245",-2.84889426710028,-2.78406494391805,1.31686608985799,-2.75194127633644
"hela1_SC246",-2.60888838247431,-2.60755597901038,-3.11248145429552,-1.97551636600316
"hela1_SC247",-1.79091913176577,-1.66413964240315,0.917301493574785,-1.81741247788964
"hela1_SC249",2.88967017315732,2.94580753520848,1.38222589053846,2.17332403071292
"hela1_SC250",2.8795127602138,2.96289375281301,2.63475913872556,2.93217939652445
